Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Junbiao Pang,Qingming Huang,20,20,176,1.0,0.11363636363636363,0.11363636363636363,0.337099931231621,0.5568181818181818,0.8863636363636364,"{2013: 2, 2014: 6, 2015: 4, 2016: 1, 2017: 1, 2018: 2, 2019: 4}"
Ke Gu,Guangtao Zhai,49,76,108,0.6447368421052632,0.4537037037037037,0.362962962962963,0.5408507124682262,0.5492202729044835,0.23703703703703705,"{2013: 8, 2014: 7, 2015: 5, 2016: 7, 2017: 10, 2018: 7, 2019: 4, 2020: 1}"
Lei Qin,Qingming Huang,23,25,176,0.92,0.13068181818181818,0.12921348314606743,0.3467380462644281,0.5253409090909091,0.848314606741573,"{2013: 5, 2014: 6, 2015: 4, 2016: 2, 2017: 2, 2018: 2, 2019: 2}"
Fevrier Valdez,o castillo,43,48,109,0.8958333333333334,0.3944954128440367,0.37719298245614036,0.5944763583800309,0.645164373088685,0.5350877192982456,"{2013: 7, 2014: 4, 2015: 9, 2016: 5, 2017: 13, 2018: 1, 2019: 4}"
Fevrier Valdez,p melin,31,48,89,0.6458333333333334,0.34831460674157305,0.29245283018867924,0.47429229755563107,0.49707397003745324,0.3867924528301887,"{2013: 7, 2014: 3, 2015: 3, 2016: 5, 2017: 9, 2018: 1, 2019: 3}"
Dajiang Zhu,Tianming Liu,26,30,99,0.8666666666666667,0.26262626262626265,0.2524271844660194,0.4770842982214229,0.5646464646464646,0.6699029126213593,"{2013: 16, 2014: 4, 2015: 3, 2016: 1, 2018: 1, 2019: 1}"
Meina Kan,Xilin Chen,23,23,117,1.0,0.19658119658119658,0.19658119658119658,0.4433747811741175,0.5982905982905983,0.8034188034188035,"{2013: 2, 2014: 4, 2015: 3, 2016: 2, 2017: 6, 2018: 2, 2019: 4}"
Meina Kan,Shiguang Shan,23,23,123,1.0,0.18699186991869918,0.18699186991869918,0.43242556575519353,0.5934959349593496,0.8130081300813008,"{2013: 2, 2014: 4, 2015: 3, 2016: 2, 2017: 6, 2018: 2, 2019: 4}"
Chunyun Lin,Yao Zhao,31,32,151,0.96875,0.2052980132450331,0.20394736842105263,0.4459623866775379,0.5870240066225165,0.7828947368421053,"{2013: 3, 2014: 4, 2015: 10, 2016: 4, 2017: 3, 2018: 4, 2019: 2, 2020: 1}"
Yuming Fang,Weisi Lin,47,54,180,0.8703703703703703,0.2611111111111111,0.25133689839572193,0.4767214852359779,0.5657407407407408,0.6737967914438503,"{2013: 6, 2014: 12, 2015: 10, 2016: 11, 2017: 4, 2018: 2, 2019: 2}"
Kong-Aik Lee,Haizhou Li,20,20,127,1.0,0.15748031496062992,0.15748031496062992,0.39683789506627254,0.5787401574803149,0.84251968503937,"{2013: 4, 2014: 6, 2015: 6, 2016: 3, 2017: 1}"
z huang,Heng Tao Shen,23,29,99,0.7931034482758621,0.23232323232323232,0.21904761904761905,0.4292509250661549,0.5127133402995472,0.6666666666666666,"{2013: 4, 2016: 5, 2017: 7, 2018: 4, 2019: 3}"
Wengang Zhou,Houqiang Li,53,61,109,0.8688524590163934,0.48623853211009177,0.452991452991453,0.6499765721103914,0.6775454955632426,0.41025641025641024,"{2013: 2, 2014: 6, 2015: 7, 2016: 12, 2017: 1, 2018: 16, 2019: 6, 2021: 2, 2022: 1}"
Gang Niu,Masashi Sugiyama,25,26,52,0.9615384615384616,0.4807692307692308,0.4716981132075472,0.6799103665255265,0.7211538461538461,0.49056603773584906,"{2013: 3, 2014: 3, 2015: 1, 2016: 3, 2017: 3, 2018: 9, 2019: 3}"
Feng Shi,Dinggang Shen,26,27,389,0.9629629629629629,0.06683804627249357,0.06666666666666667,0.2536977790151424,0.5149005046177282,0.9282051282051282,"{2013: 3, 2014: 3, 2015: 3, 2016: 7, 2017: 2, 2018: 4, 2019: 3, 2020: 1}"
Pew-Thian Yap,Dinggang Shen,75,75,389,1.0,0.1928020565552699,0.1928020565552699,0.43909230983390035,0.596401028277635,0.8071979434447301,"{2013: 8, 2014: 5, 2015: 9, 2016: 10, 2017: 12, 2018: 12, 2019: 16, 2020: 3}"
Kyunghyun Cho,Yoshua Bengio,27,29,113,0.9310344827586207,0.23893805309734514,0.23478260869565218,0.4716561954186954,0.5849862679279829,0.7304347826086957,"{2013: 2, 2014: 8, 2015: 9, 2016: 4, 2017: 3, 2018: 1}"
Lei Zhang,Yanning Zhang,30,30,134,1.0,0.22388059701492538,0.22388059701492538,0.47316022340738384,0.6119402985074627,0.7761194029850746,"{2013: 2, 2014: 2, 2015: 2, 2016: 8, 2017: 3, 2018: 7, 2019: 5, 2020: 1}"
Amin Katouzian,Nassir Navab,24,24,116,1.0,0.20689655172413793,0.20689655172413793,0.454858826147342,0.603448275862069,0.7931034482758621,"{2013: 1, 2014: 3, 2015: 8, 2016: 8, 2017: 4}"
Shuyuan Yang,Licheng Jiao,31,31,290,1.0,0.10689655172413794,0.10689655172413794,0.3269503811347189,0.553448275862069,0.8931034482758621,"{2013: 1, 2014: 12, 2015: 5, 2016: 1, 2017: 3, 2018: 7, 2019: 2}"
Sriparna Saha,Asif Ekbal,22,26,76,0.8461538461538461,0.2894736842105263,0.275,0.49491339773243226,0.5678137651821862,0.625,"{2013: 5, 2014: 1, 2015: 3, 2016: 6, 2017: 1, 2018: 4, 2019: 2}"
Shuyuan Yang,Licheng Jiao,36,36,290,1.0,0.12413793103448276,0.12413793103448276,0.3523321317088221,0.5620689655172414,0.8758620689655172,"{2013: 3, 2015: 7, 2016: 17, 2017: 3, 2018: 2, 2019: 3, 2020: 1}"
Shuhui Wang,Qingming Huang,44,45,176,0.9777777777777777,0.25,0.24858757062146894,0.4944132324730442,0.6138888888888889,0.7401129943502824,"{2013: 9, 2014: 4, 2015: 8, 2016: 3, 2017: 4, 2018: 7, 2019: 9}"
Yu Kong,Yun Fu,23,23,150,1.0,0.15333333333333332,0.15333333333333332,0.3915780041490244,0.5766666666666667,0.8466666666666667,"{2013: 1, 2014: 5, 2016: 7, 2017: 4, 2018: 4, 2019: 1, 2020: 1}"
Kai Cao,Anil K. Jain,28,28,61,1.0,0.45901639344262296,0.45901639344262296,0.6775074858941582,0.7295081967213115,0.5409836065573771,"{2013: 3, 2014: 3, 2015: 3, 2016: 3, 2017: 6, 2018: 9, 2019: 1}"
Joon-Young Lee,In So Kweon,24,24,66,1.0,0.36363636363636365,0.36363636363636365,0.6030226891555273,0.6818181818181819,0.6363636363636364,"{2013: 5, 2014: 4, 2015: 6, 2016: 2, 2017: 3, 2018: 1, 2019: 3}"
Sheng Li,Yun Fu,28,33,150,0.8484848484848485,0.18666666666666668,0.18064516129032257,0.39797467053047286,0.5175757575757576,0.7548387096774194,"{2013: 2, 2014: 3, 2015: 5, 2016: 4, 2017: 3, 2018: 8, 2019: 1, 2020: 1, 2021: 1}"
Nikos Nikolaidis,Ioannis Pitas,29,34,102,0.8529411764705882,0.28431372549019607,0.27102803738317754,0.49244581783821023,0.5686274509803921,0.6355140186915887,"{2013: 4, 2014: 7, 2015: 7, 2016: 1, 2017: 2, 2018: 3, 2019: 4, 2020: 1}"
Huchang Liao,Zeshui Xu,23,27,62,0.8518518518518519,0.3709677419354839,0.3484848484848485,0.562147274248521,0.6114097968936678,0.5303030303030303,"{2013: 1, 2014: 6, 2015: 4, 2016: 4, 2017: 3, 2018: 2, 2019: 3}"
H Shen,Xueqi Cheng,27,27,104,1.0,0.25961538461538464,0.25961538461538464,0.5095246653650681,0.6298076923076923,0.7403846153846154,"{2013: 4, 2014: 1, 2015: 2, 2016: 3, 2017: 7, 2018: 3, 2019: 2, 2020: 1, 2021: 4}"
Weili Lin,Dinggang Shen,42,42,389,1.0,0.10796915167095116,0.10796915167095116,0.3285865969131291,0.5539845758354756,0.8920308483290489,"{2013: 5, 2014: 8, 2015: 7, 2016: 6, 2017: 1, 2018: 8, 2019: 7}"
Gang Li,Dinggang Shen,33,33,389,1.0,0.08483290488431877,0.08483290488431877,0.29126088800990557,0.5424164524421594,0.9151670951156813,"{2013: 5, 2014: 2, 2015: 6, 2016: 5, 2017: 2, 2018: 10, 2019: 3}"
Gang Li,Li Wang,21,33,73,0.6363636363636364,0.2876712328767123,0.24705882352941178,0.42785921963963225,0.4620174346201743,0.47058823529411764,"{2013: 5, 2014: 1, 2015: 1, 2016: 3, 2017: 2, 2018: 6, 2019: 3}"
Xiangrong Zhang,Licheng Jiao,26,27,290,0.9629629629629629,0.0896551724137931,0.08934707903780069,0.2938275182356845,0.526309067688378,0.9037800687285223,"{2013: 1, 2014: 4, 2015: 3, 2016: 4, 2018: 6, 2019: 8}"
Jingkuan Song,Heng Tao Shen,28,43,99,0.6511627906976745,0.2828282828282828,0.24561403508771928,0.429147123880256,0.46699553676297867,0.49122807017543857,"{2013: 1, 2015: 1, 2016: 5, 2017: 5, 2018: 9, 2019: 6, 2021: 1}"
Nan Duan,Ming Zhou,23,24,116,0.9583333333333334,0.19827586206896552,0.19658119658119658,0.43590637505786944,0.5783045977011494,0.7863247863247863,"{2013: 1, 2014: 2, 2015: 1, 2016: 1, 2017: 5, 2018: 7, 2019: 4, 2022: 2}"
Junchi Yan,Xiaokang Yang,21,23,136,0.9130434782608695,0.15441176470588236,0.15217391304347827,0.37547923342237954,0.5337276214833759,0.8188405797101449,"{2013: 1, 2014: 1, 2015: 3, 2016: 4, 2017: 2, 2018: 1, 2019: 3, 2021: 4, 2022: 2}"
Manuel Graña,Jose Manuel Lopez-Guede,20,28,20,0.7142857142857143,1.0,0.7142857142857143,0.8451542547285166,0.8571428571428572,0.2857142857142857,"{2013: 2, 2015: 4, 2016: 2, 2017: 4, 2018: 4, 2019: 4}"
Jose Manuel Lopez-Guede,Manuel Graña,20,20,28,1.0,0.7142857142857143,0.7142857142857143,0.8451542547285166,0.8571428571428572,0.2857142857142857,"{2013: 2, 2015: 4, 2016: 2, 2017: 4, 2018: 4, 2019: 4}"
Xiongkuo Min,Guangtao Zhai,27,29,108,0.9310344827586207,0.25,0.24545454545454545,0.4824506406770077,0.5905172413793103,0.7181818181818181,"{2013: 1, 2014: 7, 2015: 3, 2017: 3, 2018: 6, 2019: 6, 2020: 1}"
Yaozong Gao,Dinggang Shen,62,62,389,1.0,0.15938303341902313,0.15938303341902313,0.39922804688426283,0.5796915167095116,0.8406169665809768,"{2013: 4, 2014: 11, 2015: 19, 2016: 15, 2017: 4, 2018: 6, 2019: 3}"
Jinglei Lv,Tianming Liu,40,41,99,0.975609756097561,0.40404040404040403,0.4,0.6278421457973482,0.6898250800689825,0.58,"{2013: 7, 2014: 3, 2015: 11, 2016: 12, 2017: 2, 2018: 5}"
Xi Jiang,Tianming Liu,39,40,99,0.975,0.3939393939393939,0.39,0.619750683009635,0.684469696969697,0.59,"{2013: 10, 2014: 2, 2015: 12, 2016: 6, 2017: 2, 2018: 7}"
Bokai Cao,Philip S. Yu,22,22,190,1.0,0.11578947368421053,0.11578947368421053,0.3402785236893603,0.5578947368421052,0.8842105263157894,"{2013: 1, 2014: 2, 2015: 4, 2016: 4, 2017: 8, 2018: 3}"
Chang Xu,Dacheng Tao,34,34,372,1.0,0.0913978494623656,0.0913978494623656,0.30232077246257094,0.5456989247311828,0.9086021505376344,"{2013: 2, 2014: 2, 2015: 5, 2016: 2, 2017: 8, 2018: 6, 2019: 7, 2020: 2}"
Hanwang Zhang,Tat-Seng Chua,25,37,91,0.6756756756756757,0.27472527472527475,0.24271844660194175,0.430842413911613,0.4752004752004752,0.5242718446601942,"{2013: 1, 2014: 4, 2015: 2, 2016: 11, 2017: 4, 2018: 2, 2019: 1}"
Cheng Wang,Jonathan Li,38,38,81,1.0,0.4691358024691358,0.4691358024691358,0.6849348892187751,0.7345679012345678,0.5308641975308642,"{2013: 2, 2014: 6, 2015: 5, 2016: 7, 2017: 7, 2018: 5, 2019: 5, 2020: 1}"
Radu Timofte,Luc Van Gool,37,41,99,0.9024390243902439,0.37373737373737376,0.3592233009708738,0.580753984862547,0.6380881990638089,0.5631067961165048,"{2013: 4, 2014: 4, 2015: 10, 2016: 6, 2017: 3, 2018: 8, 2019: 2}"
Ying Nian Wu,"Zhu, Song-Chun",23,23,64,1.0,0.359375,0.359375,0.59947894041409,0.6796875,0.640625,"{2013: 1, 2014: 1, 2015: 2, 2016: 5, 2017: 4, 2018: 7, 2019: 3}"
Xiaofeng Zhu,Dinggang Shen,20,32,389,0.625,0.05141388174807198,0.04987531172069826,0.17925868484551868,0.33820694087403597,0.8902743142144638,"{2014: 5, 2015: 1, 2016: 6, 2017: 4, 2019: 4}"
Jinqiao Wang,Hanqing Lu,46,51,140,0.9019607843137255,0.32857142857142857,0.31724137931034485,0.5443882285808235,0.6152661064425771,0.6137931034482759,"{2013: 5, 2014: 11, 2015: 10, 2016: 11, 2017: 2, 2018: 3, 2019: 3, 2021: 1}"
Guorong Li,Qingming Huang,22,22,176,1.0,0.125,0.125,0.3535533905932738,0.5625,0.875,"{2013: 4, 2014: 3, 2017: 4, 2018: 6, 2019: 5}"
Jing Qin,Pheng-Ann Heng,41,45,90,0.9111111111111111,0.45555555555555555,0.43617021276595747,0.6442528450810766,0.6833333333333333,0.4787234042553192,"{2013: 2, 2014: 3, 2015: 6, 2016: 8, 2017: 9, 2018: 10, 2019: 3}"
Fumin Shen,Heng Tao Shen,37,49,99,0.7551020408163265,0.37373737373737376,0.3333333333333333,0.5312342737798693,0.5644197072768501,0.45045045045045046,"{2014: 1, 2015: 2, 2016: 7, 2017: 9, 2018: 8, 2019: 7, 2020: 1, 2021: 1, 2022: 1}"
Yanfeng Sun,Junbin Gao,20,20,71,1.0,0.28169014084507044,0.28169014084507044,0.5307448924342753,0.6408450704225352,0.7183098591549296,"{2013: 1, 2014: 3, 2015: 3, 2016: 6, 2018: 3, 2019: 4}"
Xin Jin,Qionghai Dai,32,32,140,1.0,0.22857142857142856,0.22857142857142856,0.47809144373375745,0.6142857142857143,0.7714285714285715,"{2013: 1, 2014: 4, 2015: 5, 2016: 8, 2017: 4, 2018: 7, 2019: 3}"
Douglas C. Creighton,Saeid Nahavandi,37,37,104,1.0,0.3557692307692308,0.3557692307692308,0.5964639392027239,0.6778846153846154,0.6442307692307693,"{2013: 4, 2014: 12, 2015: 16, 2016: 1, 2017: 2, 2018: 1, 2019: 1}"
Xuguang Lan,Nanning Zheng,25,25,125,1.0,0.2,0.2,0.4472135954999579,0.6,0.8,"{2013: 2, 2014: 3, 2015: 2, 2016: 1, 2017: 4, 2018: 8, 2019: 5}"
Qinghua Huang,Xuelong Li,20,20,349,1.0,0.05730659025787966,0.05730659025787966,0.23938794927456072,0.5286532951289399,0.9426934097421203,"{2013: 1, 2014: 3, 2015: 4, 2016: 2, 2017: 4, 2018: 4, 2019: 2}"
Gong Cheng,Junwei Han,26,26,140,1.0,0.18571428571428572,0.18571428571428572,0.4309458036856673,0.5928571428571429,0.8142857142857143,"{2013: 1, 2014: 2, 2015: 7, 2016: 6, 2018: 5, 2019: 2, 2022: 3}"
Jen-Hong Tan,U Rajendra Acharya,27,28,110,0.9642857142857143,0.24545454545454545,0.24324324324324326,0.4865062298556018,0.6048701298701299,0.7387387387387387,"{2013: 2, 2014: 3, 2015: 1, 2016: 4, 2017: 8, 2018: 8, 2019: 1}"
Bing Qin,Ting Liu,55,55,116,1.0,0.47413793103448276,0.47413793103448276,0.6885767430246847,0.7370689655172413,0.5258620689655172,"{2013: 7, 2014: 9, 2015: 11, 2016: 8, 2017: 6, 2018: 6, 2019: 5, 2020: 3}"
Zhenfeng Zhu,Yao Zhao,27,27,151,1.0,0.17880794701986755,0.17880794701986755,0.4228568871614456,0.5894039735099338,0.8211920529801324,"{2013: 4, 2014: 3, 2015: 7, 2016: 1, 2017: 1, 2018: 5, 2019: 4, 2020: 2}"
"Xie, Pengtao",Eric Xing,27,27,104,1.0,0.25961538461538464,0.25961538461538464,0.5095246653650681,0.6298076923076923,0.7403846153846154,"{2013: 1, 2015: 9, 2016: 1, 2017: 10, 2018: 5, 2019: 1}"
Weisheng Dong,Guangming Shi,38,38,108,1.0,0.35185185185185186,0.35185185185185186,0.5931710140017395,0.6759259259259259,0.6481481481481481,"{2013: 3, 2014: 3, 2015: 5, 2016: 2, 2017: 4, 2018: 13, 2019: 5, 2022: 3}"
David J. Dittman,Taghi M. Khoshgoftaar,20,20,50,1.0,0.4,0.4,0.6324555320336759,0.7,0.6,"{2013: 4, 2014: 4, 2015: 11, 2016: 1}"
Hongfu Liu,Yun Fu,28,30,150,0.9333333333333333,0.18666666666666668,0.18421052631578946,0.4173993557999608,0.56,0.7894736842105263,"{2015: 3, 2016: 7, 2017: 6, 2018: 7, 2019: 4, 2020: 1}"
Ronghua Shang,Licheng Jiao,35,35,290,1.0,0.1206896551724138,0.1206896551724138,0.3474041668898256,0.5603448275862069,0.8793103448275862,"{2013: 1, 2014: 4, 2015: 3, 2016: 11, 2017: 4, 2018: 5, 2019: 6, 2020: 1}"
Guiguang Ding,Jungong Han,44,53,97,0.8301886792452831,0.4536082474226804,0.41509433962264153,0.6136614961219277,0.6418984633339817,0.41509433962264153,"{2017: 15, 2018: 13, 2019: 14, 2020: 1, 2022: 1}"
Santu Rana,Svetha Venkatesh,48,48,123,1.0,0.3902439024390244,0.3902439024390244,0.6246950475544243,0.6951219512195121,0.6097560975609756,"{2013: 2, 2014: 3, 2015: 5, 2016: 10, 2017: 5, 2018: 9, 2019: 8, 2020: 3, 2021: 1, 2022: 2}"
Jinman Kim,Dagan Feng,44,44,169,1.0,0.2603550295857988,0.2603550295857988,0.5102499677469846,0.6301775147928994,0.7396449704142012,"{2013: 4, 2014: 3, 2015: 3, 2016: 12, 2017: 9, 2018: 7, 2019: 6}"
Ashnil Kumar,Dagan Feng,24,24,169,1.0,0.14201183431952663,0.14201183431952663,0.3768445758127966,0.5710059171597633,0.8579881656804734,"{2013: 3, 2014: 2, 2015: 2, 2016: 6, 2017: 6, 2018: 2, 2019: 3}"
Ashnil Kumar,Jinman Kim,23,24,44,0.9583333333333334,0.5227272727272727,0.5111111111111111,0.7077760731311632,0.740530303030303,0.4444444444444444,"{2013: 3, 2014: 2, 2015: 2, 2016: 6, 2017: 6, 2018: 1, 2019: 3}"
Hu Han,Shiguang Shan,23,35,123,0.6571428571428571,0.18699186991869918,0.17037037037037037,0.35054296692539627,0.4220673635307782,0.6518518518518519,"{2013: 1, 2015: 1, 2016: 1, 2017: 2, 2018: 10, 2019: 7, 2022: 1}"
Hu Han,Xilin Chen,21,35,117,0.6,0.1794871794871795,0.16030534351145037,0.3281650616569468,0.38974358974358975,0.6259541984732825,"{2013: 1, 2015: 1, 2016: 1, 2017: 2, 2018: 10, 2019: 6}"
Francisco Chiclana,Enrique Herrera-Viedma,35,44,82,0.7954545454545454,0.4268292682926829,0.38461538461538464,0.5826862634355235,0.6111419068736141,0.4175824175824176,"{2013: 1, 2014: 4, 2015: 3, 2016: 3, 2017: 5, 2018: 12, 2019: 6, 2020: 1}"
Kim-Han Thung,Dinggang Shen,23,23,389,1.0,0.05912596401028278,0.05912596401028278,0.24315831059267287,0.5295629820051414,0.9408740359897172,"{2013: 1, 2014: 1, 2015: 6, 2016: 3, 2017: 4, 2018: 2, 2019: 4, 2020: 2}"
Wenjia Bai,Daniel Rueckert,29,29,124,1.0,0.23387096774193547,0.23387096774193547,0.4836020758246758,0.6169354838709677,0.7661290322580645,"{2013: 3, 2014: 2, 2015: 7, 2016: 2, 2017: 7, 2018: 6, 2019: 2}"
Ruiqin Xiong,Wen Gao,37,45,208,0.8222222222222222,0.1778846153846154,0.1712962962962963,0.3824404316500594,0.5000534188034188,0.7546296296296297,"{2013: 1, 2014: 6, 2015: 9, 2016: 3, 2017: 9, 2018: 7, 2019: 2}"
Ruiqin Xiong,Siwei Ma,30,45,130,0.6666666666666666,0.23076923076923078,0.20689655172413793,0.3922322702763681,0.4487179487179487,0.5862068965517241,"{2013: 1, 2014: 7, 2015: 12, 2016: 2, 2017: 4, 2018: 2, 2019: 2}"
Yongbing Zhang,Qionghai Dai,31,39,140,0.7948717948717948,0.22142857142857142,0.20945945945945946,0.41953227051959424,0.5081501831501831,0.6824324324324325,"{2013: 1, 2014: 5, 2015: 8, 2016: 7, 2017: 3, 2018: 4, 2019: 1, 2020: 2}"
Ben Glocker,Daniel Rueckert,29,33,124,0.8787878787878788,0.23387096774193547,0.2265625,0.45334641462352376,0.5563294232649071,0.7109375,"{2014: 1, 2015: 3, 2016: 8, 2017: 8, 2018: 8, 2019: 1}"
José Manuel Benítez,Francisco Herrera,20,20,167,1.0,0.11976047904191617,0.11976047904191617,0.34606427010299134,0.5598802395209581,0.8802395209580839,"{2014: 7, 2015: 5, 2016: 2, 2017: 4, 2018: 2}"
Serkan Kiranyaz,Moncef Gabbouj,35,35,109,1.0,0.3211009174311927,0.3211009174311927,0.566657672171826,0.6605504587155964,0.6788990825688074,"{2013: 3, 2014: 4, 2015: 4, 2016: 7, 2017: 5, 2018: 8, 2019: 3, 2020: 1}"
Sergey Plis,Vince D. Calhoun,20,20,67,1.0,0.29850746268656714,0.29850746268656714,0.546358364708153,0.6492537313432836,0.7014925373134329,"{2013: 1, 2014: 3, 2015: 5, 2016: 5, 2017: 3, 2018: 2, 2019: 1}"
Nenghai Yu,Weiming Zhang,46,73,47,0.6301369863013698,0.9787234042553191,0.6216216216216216,0.7853214732707009,0.8044301952783445,0.35135135135135137,"{2013: 2, 2014: 6, 2015: 4, 2016: 5, 2017: 5, 2018: 11, 2019: 12, 2022: 1}"
Weiming Zhang,Nenghai Yu,46,47,73,0.9787234042553191,0.6301369863013698,0.6216216216216216,0.7853214732707009,0.8044301952783445,0.35135135135135137,"{2013: 2, 2014: 6, 2015: 4, 2016: 5, 2017: 5, 2018: 11, 2019: 12, 2022: 1}"
Gui-Song Xia,Liangpei Zhang,26,26,267,1.0,0.09737827715355805,0.09737827715355805,0.3120549265010217,0.548689138576779,0.9026217228464419,"{2013: 1, 2014: 4, 2015: 8, 2016: 6, 2017: 2, 2018: 5}"
Yuchen Guo,Guiguang Ding,29,29,53,1.0,0.5471698113207547,0.5471698113207547,0.7397092748646287,0.7735849056603774,0.4528301886792453,"{2013: 1, 2017: 9, 2018: 6, 2019: 11, 2020: 1, 2022: 1}"
Yuchen Guo,Jungong Han,28,29,97,0.9655172413793104,0.28865979381443296,0.2857142857142857,0.5279261386035283,0.6270885175968717,0.6938775510204082,"{2017: 9, 2018: 6, 2019: 11, 2020: 1, 2022: 1}"
Hongying Liu,Licheng Jiao,26,26,290,1.0,0.0896551724137931,0.0896551724137931,0.29942473580817114,0.5448275862068965,0.9103448275862069,"{2014: 3, 2015: 3, 2016: 11, 2017: 5, 2018: 2, 2019: 1, 2020: 1}"
Harith Al-Sahaf,Mengjie Zhang,21,21,186,1.0,0.11290322580645161,0.11290322580645161,0.3360107525161235,0.5564516129032258,0.8870967741935484,"{2013: 2, 2014: 2, 2015: 4, 2016: 1, 2017: 6, 2018: 3, 2019: 3}"
Xiaohua Xie,Jianhuang Lai,25,25,86,1.0,0.29069767441860467,0.29069767441860467,0.539163866017192,0.6453488372093024,0.7093023255813954,"{2013: 1, 2014: 1, 2017: 2, 2018: 14, 2019: 4, 2020: 2, 2022: 1}"
Sihong Xie,Philip S. Yu,23,23,190,1.0,0.12105263157894737,0.12105263157894737,0.3479261869692297,0.5605263157894737,0.8789473684210526,"{2013: 1, 2014: 1, 2015: 6, 2016: 6, 2017: 5, 2018: 2, 2019: 2}"
Xinfeng Zhang,Siwei Ma,20,23,130,0.8695652173913043,0.15384615384615385,0.15037593984962405,0.36575847797972755,0.5117056856187291,0.8045112781954887,"{2013: 1, 2014: 1, 2015: 1, 2017: 4, 2018: 7, 2019: 6}"
Wei Li,Qian Du,38,42,109,0.9047619047619048,0.3486238532110092,0.336283185840708,0.5616240570672052,0.626692878986457,0.5929203539823009,"{2014: 4, 2015: 13, 2016: 10, 2017: 6, 2018: 1, 2019: 4}"
Xuemei Xie,Guangming Shi,35,35,108,1.0,0.32407407407407407,0.32407407407407407,0.569275042553311,0.662037037037037,0.6759259259259259,"{2015: 4, 2016: 3, 2017: 11, 2018: 9, 2019: 8}"
Dingwen Zhang,Junwei Han,23,24,140,0.9583333333333334,0.16428571428571428,0.16312056737588654,0.3967876966218537,0.5613095238095238,0.8226950354609929,"{2014: 2, 2015: 4, 2016: 5, 2017: 3, 2018: 6, 2019: 2, 2020: 1}"
Hongsheng Li,Xiaogang Wang,23,24,106,0.9583333333333334,0.2169811320754717,0.21495327102803738,0.45600466178793286,0.5876572327044025,0.7663551401869159,"{2014: 2, 2015: 1, 2016: 5, 2017: 4, 2018: 4, 2019: 7}"
Biao Hou,Licheng Jiao,49,49,290,1.0,0.16896551724137931,0.16896551724137931,0.41105415366029247,0.5844827586206897,0.8310344827586207,"{2014: 1, 2015: 7, 2016: 15, 2017: 7, 2018: 10, 2019: 7, 2020: 2}"
Pedram Ghamisi,Jon Atli Benediktsson,20,23,92,0.8695652173913043,0.21739130434782608,0.21052631578947367,0.43478260869565216,0.5434782608695652,0.7263157894736842,"{2013: 1, 2014: 5, 2015: 4, 2016: 2, 2018: 2, 2019: 5, 2020: 1}"
Sailesh Conjeti,Nassir Navab,24,24,116,1.0,0.20689655172413793,0.20689655172413793,0.454858826147342,0.603448275862069,0.7931034482758621,"{2014: 2, 2015: 5, 2016: 7, 2017: 4, 2018: 5, 2019: 1}"
Joel E. W. Koh,U Rajendra Acharya,26,27,110,0.9629629629629629,0.23636363636363636,0.23423423423423423,0.4770842982214229,0.5996632996632997,0.7477477477477478,"{2014: 1, 2015: 2, 2016: 6, 2017: 9, 2018: 6, 2019: 2}"
Hengshu Zhu,Hui Xiong,28,31,100,0.9032258064516129,0.28,0.27184466019417475,0.5028948456749698,0.5916129032258064,0.6699029126213593,"{2014: 1, 2015: 2, 2016: 3, 2017: 2, 2018: 3, 2019: 10, 2020: 4, 2021: 1, 2022: 2}"
Yannis Panagakis,Stefanos Zafeririou,21,21,86,1.0,0.2441860465116279,0.2441860465116279,0.4941518456017623,0.622093023255814,0.7558139534883721,"{2013: 1, 2014: 2, 2015: 3, 2016: 2, 2017: 6, 2018: 7}"
Mohammed Hossny,Saeid Nahavandi,23,23,104,1.0,0.22115384615384615,0.22115384615384615,0.47026997156298017,0.6105769230769231,0.7788461538461539,"{2013: 1, 2014: 4, 2015: 1, 2016: 6, 2017: 3, 2018: 7, 2019: 1}"
Long Chen,C. L. Philip Chen,20,22,78,0.9090909090909091,0.2564102564102564,0.25,0.4828045495852676,0.5827505827505828,0.7,"{2014: 2, 2015: 2, 2016: 6, 2017: 3, 2018: 5, 2019: 2}"
Jiawei Zhang,Philip S. Yu,32,32,190,1.0,0.16842105263157894,0.16842105263157894,0.41039134083406165,0.5842105263157895,0.8315789473684211,"{2014: 2, 2015: 7, 2016: 8, 2017: 5, 2018: 5, 2019: 3, 2021: 1, 2022: 1}"
Zhengming Ding,Yun Fu,47,47,150,1.0,0.31333333333333335,0.31333333333333335,0.5597618541248888,0.6566666666666667,0.6866666666666666,"{2014: 2, 2015: 6, 2016: 5, 2017: 7, 2018: 15, 2019: 10, 2020: 2}"
Bing Xue,Mengjie Zhang,61,61,186,1.0,0.3279569892473118,0.3279569892473118,0.5726752912840852,0.6639784946236559,0.6720430107526881,"{2014: 3, 2015: 6, 2016: 13, 2017: 25, 2018: 5, 2019: 9}"
Hao Chen,Pheng-Ann Heng,27,29,90,0.9310344827586207,0.3,0.29347826086956524,0.5284981975632331,0.6155172413793103,0.6630434782608695,"{2014: 1, 2015: 4, 2016: 6, 2017: 6, 2018: 5, 2019: 4, 2020: 1}"
