Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Sicheng Zhao,Hongxun Yao,37,54,105,0.6851851851851852,0.3523809523809524,0.30327868852459017,0.49137176161525076,0.5187830687830688,0.4180327868852459,"{2013: 3, 2014: 2, 2015: 11, 2016: 7, 2017: 6, 2018: 5, 2019: 3}"
Chunhong Pan,Shiming Xiang,77,114,78,0.6754385964912281,0.9871794871794872,0.6695652173913044,0.8165654458189148,0.8313090418353577,0.3130434782608696,"{2013: 15, 2014: 11, 2015: 11, 2016: 5, 2017: 11, 2018: 12, 2019: 11, 2020: 1}"
Shiming Xiang,Chunhong Pan,77,78,114,0.9871794871794872,0.6754385964912281,0.6695652173913044,0.8165654458189148,0.8313090418353577,0.3130434782608696,"{2013: 15, 2014: 11, 2015: 11, 2016: 5, 2017: 11, 2018: 12, 2019: 11, 2020: 1}"
Sheraz Ahmed,Andreas Dengel,26,26,89,1.0,0.29213483146067415,0.29213483146067415,0.5404949874519412,0.6460674157303371,0.7078651685393258,"{2013: 4, 2014: 1, 2016: 2, 2017: 1, 2018: 5, 2019: 11, 2021: 1, 2022: 1}"
Rongrong Ni,Yao Zhao,37,37,151,1.0,0.24503311258278146,0.24503311258278146,0.49500819446023464,0.6225165562913907,0.7549668874172185,"{2013: 7, 2014: 7, 2015: 4, 2017: 4, 2018: 6, 2019: 6, 2020: 3}"
Fang Liu,Licheng Jiao,57,58,290,0.9827586206896551,0.19655172413793104,0.1958762886597938,0.43950301626720006,0.5896551724137931,0.7972508591065293,"{2013: 2, 2014: 7, 2015: 10, 2016: 16, 2017: 6, 2018: 10, 2019: 5, 2022: 1}"
Xiaoou Tang,Xiaogang Wang,25,36,106,0.6944444444444444,0.2358490566037736,0.21367521367521367,0.4047024426488601,0.46514675052410903,0.5982905982905983,"{2013: 8, 2014: 8, 2015: 3, 2016: 3, 2017: 1, 2018: 2}"
Jian Cheng,Hanqing Lu,34,52,140,0.6538461538461539,0.24285714285714285,0.21518987341772153,0.3984861462977211,0.44835164835164837,0.5569620253164557,"{2013: 11, 2014: 9, 2015: 7, 2016: 1, 2017: 1, 2018: 2, 2019: 3}"
Liming Chen,Yunhong Wang,22,23,111,0.9565217391304348,0.1981981981981982,0.19642857142857142,0.4354088713302235,0.5773599686643165,0.7857142857142857,"{2013: 5, 2014: 5, 2015: 6, 2016: 1, 2018: 3, 2019: 2}"
Liming Chen,Di Huang,20,23,59,0.8695652173913043,0.3389830508474576,0.3225806451612903,0.5429252897979031,0.6042741341193809,0.5806451612903226,"{2013: 5, 2014: 4, 2015: 6, 2016: 1, 2018: 2, 2019: 2}"
Hongmei Chen,Tianrui Li,20,20,88,1.0,0.22727272727272727,0.22727272727272727,0.4767312946227962,0.6136363636363636,0.7727272727272727,"{2013: 3, 2014: 3, 2015: 4, 2016: 3, 2017: 4, 2018: 1, 2019: 2}"
Shengcai Liao,Stan Z. Li,26,34,102,0.7647058823529411,0.2549019607843137,0.23636363636363636,0.4415031470273609,0.5098039215686274,0.6181818181818182,"{2013: 7, 2014: 11, 2015: 2, 2016: 4, 2018: 2}"
