Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Joon-Young Lee,In So Kweon,32,32,85,1,0.376470588,0.376470588,0.613571991,0.688235294,0.623529412,"{2013: 5, 2014: 4, 2015: 6, 2016: 2, 2017: 3, 2018: 1, 2019: 5, 2020: 1, 2021: 1, 2022: 4}"
Li Liu,Ling Shao,24,26,121,0.923076923,0.198347107,0.195121951,0.427889749,0.560712015,0.772357724,"{2013: 3, 2014: 1, 2015: 1, 2016: 3, 2017: 4, 2018: 1, 2019: 7, 2020: 3, 2021: 1}"
Shuyuan Yang,Licheng Jiao,21,21,144,1,0.145833333,0.145833333,0.381881308,0.572916667,0.854166667,"{2014: 8, 2015: 4, 2016: 1, 2017: 3, 2018: 3, 2019: 2}"
Weili Lin,Dinggang Shen,22,22,170,1,0.129411765,0.129411765,0.359738467,0.564705882,0.870588235,"{2013: 3, 2014: 6, 2015: 4, 2016: 5, 2018: 1, 2019: 3}"
Kamal Nasrollahi,Thomas B. Moeslund,37,37,63,1,0.587301587,0.587301587,0.766356045,0.793650794,0.412698413,"{2013: 1, 2014: 4, 2015: 10, 2016: 9, 2017: 7, 2018: 2, 2019: 1, 2021: 2, 2022: 1}"
Xiongkuo Min,Guangtao Zhai,29,31,97,0.935483871,0.298969072,0.292929293,0.528848508,0.617226472,0.666666667,"{2013: 1, 2014: 7, 2015: 3, 2017: 3, 2018: 4, 2019: 6, 2020: 2, 2022: 3}"
Yaozong Gao,Dinggang Shen,53,53,170,1,0.311764706,0.311764706,0.55835894,0.655882353,0.688235294,"{2013: 4, 2014: 10, 2015: 16, 2016: 14, 2017: 3, 2018: 5, 2019: 1}"
Lingxi Xie,Qi Tian,28,44,178,0.636363636,0.157303371,0.144329897,0.31638923,0.396833504,0.690721649,"{2013: 2, 2014: 4, 2015: 3, 2016: 4, 2017: 1, 2018: 1, 2019: 2, 2020: 2, 2021: 3, 2022: 6}"
Xin Jin,Qionghai Dai,30,30,113,1,0.265486726,0.265486726,0.51525404,0.632743363,0.734513274,"{2013: 1, 2014: 4, 2015: 5, 2016: 7, 2017: 4, 2018: 7, 2019: 2}"
Vishal M. Patel,Rama Chellappa,29,29,65,1,0.446153846,0.446153846,0.667947488,0.723076923,0.553846154,"{2013: 3, 2014: 6, 2015: 11, 2016: 5, 2017: 3, 2018: 1}"
